,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Memphis,Memphis,108,Charlotte,93,99.0,99.0,.556,.459,13.7,15.9,23.8,20.8,.089,.163,109.1,93.9,2021-01-01
0,Miami,Dallas,93,Miami,83,97.5,97.5,.417,.487,13.6,15.4,10.0,10.0,.231,.218,85.1,95.4,2021-01-01
0,Phoenix,Phoenix,106,Denver,103,92.6,92.6,.572,.523,16.6,10.6,21.1,21.6,.250,.151,114.5,111.3,2021-01-01
0,Boston,Detroit,96,Boston,93,100.7,100.7,.518,.472,17.6,16.4,16.3,24.5,.084,.148,92.4,95.4,2021-01-01
0,Portland,Portland,123,Golden State,98,104.4,104.4,.543,.437,8.7,13.8,16.3,6.5,.250,.367,117.8,93.9,2021-01-01
0,Chicago,Milwaukee,126,Chicago,96,108.2,108.2,.471,.624,17.3,14.8,13.3,12.2,.161,.235,88.7,116.5,2021-01-01
0,Washington,Washington,130,Minnesota,109,104.7,104.7,.640,.551,14.0,17.1,20.0,23.9,.180,.136,124.1,104.1,2021-01-01
0,LA Lakers,LA Lakers,109,San Antonio,103,100.5,100.5,.475,.500,10.7,11.9,30.2,16.0,.129,.212,108.4,102.5,2021-01-01
0,LA Clippers,Utah,106,LA Clippers,100,90.1,90.1,.465,.545,7.7,12.0,26.7,29.5,.247,.101,111.0,117.7,2021-01-01
0,Cleveland,Cleveland,96,Atlanta,91,95.1,95.1,.456,.476,13.2,17.6,31.3,32.6,.143,.118,100.9,95.7,2021-01-02
0,Sacramento,Houston,102,Sacramento,94,96.7,96.7,.439,.525,12.4,12.5,25.0,15.4,.167,.210,97.2,105.4,2021-01-02
0,New York,New York,106,Indiana,102,92.4,92.4,.578,.518,14.5,8.0,27.0,10.9,.120,.179,114.8,110.4,2021-01-02
0,Toronto,New Orleans,120,Toronto,116,98.0,98.0,.495,.506,8.0,10.4,21.7,31.8,.286,.434,118.4,122.5,2021-01-02
0,Oklahoma City,Oklahoma City,108,Orlando,99,99.3,99.3,.517,.417,9.5,5.0,13.0,24.6,.221,.083,108.8,99.7,2021-01-02
0,Charlotte,Philadelphia,127,Charlotte,112,100.6,100.6,.484,.696,10.4,19.0,26.9,21.2,.250,.215,111.3,126.3,2021-01-02
0,Washington,Washington,123,Brooklyn,122,108.0,108.0,.471,.580,5.6,17.4,22.8,16.3,.240,.346,113.9,113.0,2021-01-03
